year,number_winner
2017,24
2016,23
2015,25
2014,98
2013,124
2012,24
2011,24
2010,108
2009,30
2008,24
2007,22
2006,24
2005,106
2004,27
2003,17
2002,99
2001,79
2000,110
1999,91
1998,75
